  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1   23    0   50.00  53.85     7     14   13      3     23    19    82.61
   2   23    0   61.54  66.67     8     13   12      1     23    18    78.26
   3   21    0   37.50  46.15     6     16   13      6     21    17    80.95
   4   38    0   50.00  54.55    12     24   22      2     38    29    76.32
   5    5    0   80.00 100.00     4      5    4      0      5     5   100.00
   6   25    0   75.00  80.00    12     16   15      1     25    22    88.00
   7   32    0   32.00  42.11     8     25   19      9     32    24    75.00
   8   27    0   58.82  76.92    10     17   13      1     27    23    85.19
   9   59    0   47.83  61.11    22     46   36      9     59    43    72.88
  10   29    0   45.83  64.71    11     24   17      6     29    22    75.86
  11   77    0   25.00  28.57    12     48   42     20     77    65    84.42
  12   52    0   54.29  67.86    19     35   28      3     52    43    82.69
  13   17    0   53.85  58.33     7     13   12      3     17    15    88.24
  14   34    0   59.26  76.19    16     27   21      5     34    29    85.29
  15   12    0   50.00  83.33     5     10    6      0     12     9    75.00
  16   25    0   28.57  46.15     6     21   13      6     25    16    64.00
  17    3    0   50.00 100.00     2      4    2      0      3     2    66.67
  18    6    0   71.43 100.00     5      7    5      0      6     5    83.33
  19   23    0   30.00  35.29     6     20   17      8     23    18    78.26
  20   23    0   64.71  84.62    11     17   13      1     23    19    82.61
  21   40    0   25.00  33.33     6     24   18      7     40    27    67.50
  22   18    0   20.00  30.00     3     15   10      6     18    13    72.22
  23   38    0   41.67  45.45    10     24   22      9     38    34    89.47
  24   42    0   50.00  63.64    14     28   22      5     42    32    76.19
  25   17    0   55.56  55.56     5      9    9      1     17    15    88.24
  26   46    0   25.00  34.78     8     32   23     11     46    35    76.09
  27   45    0   26.09  28.57     6     23   21      9     45    38    84.44
  28    2    0   50.00 100.00     2      4    2      0      2     1    50.00
  29   38    2    0.00   0.00     0      0    0      0      0     0     0.00
  30    1    0   33.33 100.00     1      3    1      0      1     0     0.00
  31   17    0   50.00  66.67     6     12    9      1     17    14    82.35
  32    7    0  100.00 100.00     5      5    5      0      7     4    57.14
  33    7    0   66.67 100.00     4      6    4      0      7     5    71.43
  34    5    0   66.67 100.00     4      6    4      0      5     3    60.00
  35    5    0   80.00 100.00     4      5    4      0      5     4    80.00
  36    2    0   66.67 100.00     2      3    2      0      2     1    50.00
  37    3    0   60.00 100.00     3      5    3      0      3     2    66.67
  38    6    0   62.50 100.00     5      8    5      0      6     4    66.67
  39   32    0   34.48  55.56    10     29   18      6     32    21    65.63
  40   37    0   25.00  41.18     7     28   17      9     37    26    70.27
  41   14    0   75.00  66.67     6      8    9      2     14    13    92.86
  42   26    0   52.63  71.43    10     19   14      3     26    21    80.77
  43    6    0   42.86  75.00     3      7    4      1      6     4    66.67
  44   90    0   38.71  48.00    24     62   50     20     90    75    83.33
  45   35    0   20.69  33.33     6     29   18     10     35    25    71.43
  46   27    0   75.00  85.71    12     16   14      1     27    25    92.59
  47   49    0   31.25  40.00    10     32   25     14     49    40    81.63
  48   30    0   38.10  57.14     8     21   14      5     30    20    66.67
  49    1    2    0.00   0.00     0      0    0      0      0     0     0.00
  50   16    0   63.64  70.00     7     11   10      1     16    14    87.50
  51   14    0   50.00  62.50     5     10    8      2     14    10    71.43
  52   14    0   60.00  75.00     6     10    8      0     14    11    78.57
  53   20    0   58.33  77.78     7     12    9      0     20    15    75.00
  54   20    0   71.43  76.92    10     14   13      1     20    17    85.00
  55   14    0   60.00  75.00     6     10    8      1     14    11    78.57
  56   23    0   20.00  27.27     3     15   11      6     23    15    65.22
  57    3    0   66.67  66.67     2      3    3      0      3     1    33.33
  58    3    0  100.00 100.00     3      3    3      0      3     3   100.00
  59    5    0   80.00 100.00     4      5    4      0      5     5   100.00
  60   27    0   66.67  82.35    14     21   17      3     27    23    85.19
  61   52    0   33.33  48.39    15     45   31     12     52    36    69.23
  62   28    0   38.10  53.33     8     21   15      7     28    20    71.43
  63   21    0   43.75  53.85     7     16   13      5     21    19    90.48
  64   23    0   46.67  50.00     7     15   14      6     23    21    91.30
  65   61    0   56.82  73.53    25     44   34      7     61    51    83.61
  66   48    2    0.00   0.00     0      0    0      0      0     0     0.00
  67    3    0   60.00 100.00     3      5    3      0      3     2    66.67
  68   12    0   62.50  62.50     5      8    8      2     12     9    75.00
  69   43    0   40.00  43.48    10     25   23      8     43    36    83.72
  70   18    0   64.29  81.82     9     14   11      1     18    15    83.33
  71   16    0   60.00  60.00     6     10   10      2     16    12    75.00
  72   24    0   53.85  53.85     7     13   13      3     24    21    87.50
  73   31    0   72.73  80.00    16     22   20      1     31    28    90.32
  74    3    0   60.00 100.00     3      5    3      0      3     2    66.67
  75   14    0   72.73 100.00     8     11    8      0     14    11    78.57
  76   14    0   85.71  75.00     6      7    8      0     14    13    92.86
  77   13    0   60.00  75.00     6     10    8      1     13    10    76.92
  78   19    0   57.14  66.67     8     14   12      3     19    15    78.95
  79   15    0   61.54  80.00     8     13   10      1     15    12    80.00
  80   20    0   41.18  53.85     7     17   13      6     20    16    80.00
  81   30    0   54.55  70.59    12     22   17      3     30    24    80.00
  82   45    0   36.36  48.00    12     33   25     10     45    34    75.56
  83   14    0   62.50  62.50     5      8    8      2     14    11    78.57
  84   31    0   26.09  37.50     6     23   16      5     31    24    77.42
  85   31    0   31.82  46.67     7     22   15      6     31    21    67.74
  86   15    0   87.50  87.50     7      8    8      0     15    13    86.67
  87   37    0   44.44  60.00    12     27   20      5     37    28    75.68
  88   30    0   57.14  80.00    12     21   15      3     30    21    70.00
  89   24    0   56.25  75.00     9     16   12      1     24    17    70.83
  90   10    0   83.33  83.33     5      6    6      0     10     9    90.00
  91    3    0   60.00 100.00     3      5    3      0      3     2    66.67
  92   13    0   60.00  75.00     6     10    8      1     13     7    53.85
  93   45    0   27.59  33.33     8     29   24     13     45    30    66.67
  94   23    0   43.75  58.33     7     16   12      3     23    18    78.26
  95   34    0   30.43  38.89     7     23   18      7     34    27    79.41
  96   24    0   60.00  80.00    12     20   15      1     24    20    83.33
  97    1    0   33.33 100.00     1      3    1      0      1     0     0.00
  98   11    0   77.78  77.78     7      9    9      0     11     9    81.82
  99    5    0  100.00 100.00     5      5    5      0      5     4    80.00
 100    2    0   50.00 100.00     2      4    2      0      2     1    50.00
 101    3    0   66.67 100.00     2      3    2      0      3     1    33.33
 102    3    0   66.67  66.67     2      3    3      0      3     1    33.33
 103    3    0  100.00 100.00     3      3    3      0      3     3   100.00
 104    7    0   66.67 100.00     4      6    4      0      7     5    71.43
 105    7    0   75.00 100.00     6      8    6      0      7     5    71.43
 106    4    0   50.00 100.00     3      6    3      0      4     2    50.00
 107    6    2    0.00   0.00     0      0    0      0      0     0     0.00
 108   42    2    0.00   0.00     0      0    0      0      0     0     0.00
 109   15    0   81.82  90.00     9     11   10      0     15    14    93.33
 110    5    0   66.67 100.00     4      6    4      0      5     4    80.00
 111   39    2    0.00   0.00     0      0    0      0      0     0     0.00
 112   44    0   21.21  29.17     7     33   24     15     44    32    72.73
 113   20    0   60.00  75.00     9     15   12      2     20    17    85.00
 114   33    0   54.55  66.67    12     22   18      2     33    25    75.76
 115   11    0   40.00  57.14     4     10    7      2     11     9    81.82
 116   23    0   33.33  35.71     5     15   14      8     23    16    69.57
 117   18    0   66.67  90.91    10     15   11      0     18    13    72.22
 118   34    0   36.00  56.25     9     25   16      4     34    25    73.53
 119   43    0   15.15  21.74     5     33   23     16     43    34    79.07
 120   25    0   23.53  36.36     4     17   11      4     25    17    68.00
 121   41    0   51.61  61.54    16     31   26      8     41    35    85.37
 122   11    0   83.33 100.00     5      6    5      0     11    10    90.91
 123   33    2    0.00   0.00     0      0    0      0      0     0     0.00
 124   35    0   31.82  38.89     7     22   18      9     35    26    74.29
 125   35    0   39.13  50.00     9     23   18      4     35    26    74.29
 126    6    0   50.00 100.00     3      6    3      0      6     3    50.00
 127   10    2    0.00   0.00     0      0    0      0      0     0     0.00
 128   34    0   40.00  58.82    10     25   17      4     34    24    70.59
 129   37    0   26.92  31.82     7     26   22     11     37    31    83.78
 130   19    0   37.50  54.55     6     16   11      4     19    10    52.63
 131   57    0   13.04  18.18     6     46   33     22     57    42    73.68
 132   22    0   72.73  61.54     8     11   13      2     22    21    95.45
 133    2    0   50.00 100.00     2      4    2      0      2     1    50.00
 134    3    0   60.00 100.00     3      5    3      0      3     2    66.67
 135   19    0   40.00  36.36     4     10   11      4     19    13    68.42
 136   15    0   33.33  30.00     3      9   10      4     15     9    60.00
 137   17    0   66.67  66.67     6      9    9      0     17    13    76.47
 138   16    0   30.77  33.33     4     13   12      7     16    12    75.00
 139    2    0   50.00 100.00     2      4    2      0      2     1    50.00
 140    2    0   50.00 100.00     2      4    2      0      2     1    50.00
 141    3    0  100.00 100.00     3      3    3      0      3     2    66.67
 142    2    0   50.00 100.00     2      4    2      0      2     1    50.00
 143   11    0   50.00  50.00     4      8    8      2     11     9    81.82
 144    7    0   60.00 100.00     3      5    3      0      7     5    71.43
 145    5    0   75.00 100.00     3      4    3      0      5     3    60.00
 146    4    0   80.00 100.00     4      5    4      0      4     3    75.00
 147    4    0   80.00 100.00     4      5    4      0      4     3    75.00
 148    4    0   40.00  66.67     2      5    3      0      4     3    75.00
 149    5    0   42.86  75.00     3      7    4      1      5     3    60.00
 150   59    0   27.03  32.26    10     37   31     14     59    43    72.88
 151   50    0   38.24  44.83    13     34   29     13     50    43    86.00
 152   44    0   33.33  36.36     8     24   22     10     44    36    81.82
 153   34    0   14.29  18.18     4     28   22     17     34    24    70.59
 154   31    0   33.33  44.44     8     24   18      8     31    23    74.19
 155   28    0   69.57 100.00    16     23   16      0     28    18    64.29
 156   12    0   44.44  57.14     4      9    7      3     12     8    66.67
 157   41    0   37.50  39.13     9     24   23     10     41    34    82.93
 158   18    2    0.00   0.00     0      0    0      0      0     0     0.00
 159   49    0   39.39  50.00    13     33   26      9     49    37    75.51
 160    1    2    0.00   0.00     0      0    0      0      0     0     0.00
 161   72    0   22.22  27.78    10     45   36     22     72    55    76.39
 162   22    0   35.71  38.46     5     14   13      3     22    16    72.73
 163   24    0   21.05  33.33     4     19   12      2     24    15    62.50
 164   10    0   62.50  71.43     5      8    7      1     10     8    80.00
 165   51    0   25.81  28.57     8     31   28     13     51    40    78.43
 166   43    0   27.59  36.36     8     29   22     10     43    30    69.77
 167   30    0   31.58  31.58     6     19   19      9     30    21    70.00
 168   17    0   75.00 100.00     9     12    9      0     17    14    82.35
 169   37    0   50.00  57.14    12     24   21      6     37    31    83.78
 170   40    0   46.15  57.14    12     26   21      7     40    30    75.00
 171   35    0   41.67  58.82    10     24   17      6     35    27    77.14
 172   14    0   62.50  55.56     5      8    9      2     14    14   100.00
 173   34    0   72.00  85.71    18     25   21      2     34    23    67.65
 174   62    0   31.82  43.75    14     44   32     11     62    43    69.35
 175   25    0   31.25  35.71     5     16   14      4     25    18    72.00
 176   48    0   31.43  42.31    11     35   26     10     48    35    72.92
 177   22    0   35.71  45.45     5     14   11      4     22    16    72.73
 178   10    0   55.56  83.33     5      9    6      0     10     8    80.00
 179   28    0   25.00  27.78     5     20   18      8     28    21    75.00
 180    8    0   42.86  60.00     3      7    5      1      8     5    62.50
 181   28    0   45.83  61.11    11     24   18      6     28    19    67.86
 182   20    0   61.54  72.73     8     13   11      0     20    13    65.00
 183   46    2    0.00   0.00     0      0    0      0      0     0     0.00
 184    1    0   33.33 100.00     1      3    1      0      1     0     0.00
 185   19    0   21.43  30.00     3     14   10      5     19    13    68.42
 186    6    0   66.67 100.00     4      6    4      0      6     4    66.67
 187    3    0   40.00  66.67     2      5    3      0      3     2    66.67
 188   43    0    9.09  12.00     3     33   25     17     43    31    72.09
 189    4    0   40.00  66.67     2      5    3      0      4     3    75.00
 190   34    0   33.33  44.44     8     24   18      6     34    27    79.41
 191   17    0   80.00  88.89     8     10    9      0     17    16    94.12
 192   23    0   22.22  33.33     4     18   12      6     23    16    69.57
